id,name,lat,lon
17353,Saint-Laurent-de-la-Prée,45.992,-1.035
17354,Saint-Léger,45.625,-0.57
17360,Sainte-Marie-de-Ré,46.147,-1.302
17369,Saint-Martin-de-Ré,46.201,-1.367
17373,Saint-Médard-d'Aunis,46.167,-0.944
17375,Saint-Nazaire-sur-Charente,45.935,-1.047
17376,Saint-Ouen-d'Aunis,46.229,-1.036
17382,Saint-Pierre-d'Amilly,46.15,-0.689
17385,Saint-Pierre-d'Oléron,45.936,-1.303
17396,Saint-Sauveur-d'Aunis,46.224,-0.881
17407,Sainte-Soulle,46.202,-1.028
17409,Saint-Sulpice-de-Royan,45.684,-0.997
17413,Saint-Vivien,46.083,-1.048
17414,Saint-Xandre,46.205,-1.099
17415,Saintes,45.754,-0.654
17420,Salles-sur-Mer,46.105,-1.058
17421,Saujon,45.668,-0.931
17434,Surgères,46.105,-0.761
17443,Thairé,46.065,-0.999
17447,Le Thou,46.089,-0.933
17449,Tonnay-Charente,45.959,-0.897
17453,Trizay,45.893,-0.911
17463,Vergeroux,45.968,-0.982
17466,Vérines,46.193,-0.967
17472,Villedoux,46.238,-1.074
17480,Virson,46.144,-0.899
17483,Yves,46.053,-1.082
17484,Port-des-Barques,45.946,-1.083
18033,Bourges,47.079,2.399
18160,Nérondes,46.997,2.818
19031,Brive-la-Gaillarde,45.164,1.529
19073,Égletons,45.403,2.046
19123,Malemort,45.164,1.557
19272,Tulle,45.261,1.756
19274,Ussac,45.199,1.512
19276,Uzerche,45.426,1.566
21038,Auxonne,47.193,5.387
21054,Beaune,47.013,4.847
21154,Châtillon-sur-Seine,47.86,4.573
21166,Chenôve,47.282,5.009
21171,Chevigny-Saint-Sauveur,47.283,5.133
21191,Corcelles-lès-Cîteaux,47.171,5.079
21210,Créancey,47.247,4.566
21231,Dijon,47.326,5.068
21355,Longvic,47.284,5.056
21390,Marsannay-la-Côte,47.277,4.998
21425,Montbard,47.618,4.336
21458,Noiron-sous-Gevrey,47.198,5.082
21461,Nolay,46.951,4.63
21485,Plombières-lès-Dijon,47.334,4.986
21501,Pouilly-en-Auxois,47.262,4.555
21515,Quetigny,47.314,5.087
21535,Ruffey-lès-Echirey,47.37,5.079
21540,Saint-Apollinaire,47.329,5.073
2157,Chambry,49.594,3.658
21661,Velars-sur-Ouche,47.318,4.908
2168,Château-Thierry,49.05,3.405
22004,Bégard,48.628,-3.285
22028,Camlez,48.777,-3.301
22034,Cavan,48.668,-3.342
22046,Le Mené,48.295,-2.521
22050,Dinan,48.46,-2.057
22055,Binic-Étables-sur-Mer,48.601,-2.828
22067,Grâces,48.549,-3.18
22070,Guingamp,48.558,-3.144
22081,Hillion,48.48,-2.645
22084,Jugon-les-Lacs - Commune nouvelle,48.415,-2.315
22090,Kermaria-Sulard,48.772,-3.375
22093,Lamballe-Armor,48.461,-2.513
22106,Langueux,48.5,-2.73
22113,Lannion,48.725,-3.438
22118,Lanvallay,48.455,-2.027
22121,Lanvollon,48.633,-2.977
22134,Louannec,48.791,-3.419
22135,Louargat,48.569,-3.337
22136,Loudéac,48.179,-2.732
22147,Merdrignac,48.19,-2.402
22152,Minihy-Tréguier,48.764,-3.247
22162,Paimpol,48.768,-3.087
22164,Pédernec,48.597,-3.272
22168,Perros-Guirec,48.809,-3.45
2217,Coucy-le-Château-Auffrique,49.516,3.321
22172,Plancoët,48.521,-2.235
22182,Plélo,48.523,-2.876
22187,Plérin,48.542,-2.778
22194,Plestin-les-Grèves,48.662,-3.627
22198,Pleumeur-Bodou,48.806,-3.527
22199,Pleumeur-Gautier,48.776,-3.187
22206,Châtelaudren-Plouagat,48.536,-2.999
22207,Plouaret,48.607,-3.469
22211,Ploubezre,48.703,-3.448
22212,Plouëc-du-Trieux,48.66,-3.198
22213,Plouër-sur-Rance,48.535,-2.013
22215,Ploufragan,48.494,-2.777
22223,Plouisy,48.562,-3.198
22224,Ploulec'h,48.716,-3.492
22225,Ploumagoar,48.548,-3.137
22226,Ploumilliau,48.686,-3.551
22251,Pordic,48.561,-2.81
22254,Prat,48.662,-3.337
22259,Quévert,48.465,-2.085
22264,La Roche-Jaudy,48.741,-3.247
22278,Saint-Brieuc,48.513,-2.737
22324,Saint-Quay-Perros,48.766,-3.449
22338,Squiffiec,48.627,-3.159
22339,Taden,48.466,-2.061
22343,Trébeurden,48.781,-3.568
22353,Trégastel,48.817,-3.501
22362,Tréguier,48.779,-3.235
22363,Trélévern,48.812,-3.371
22369,Trémeur,48.347,-2.289
22379,Trévou-Tréguignec,48.81,-3.357
22387,Le Vieux-Marché,48.606,-3.458
22389,Yffiniac,48.484,-2.661
2245,Cuffies,49.398,3.325
23096,Guéret,46.169,1.871
2361,Guise,49.901,3.63
24008,Angoisse,45.427,1.138
2408,Laon,49.57,3.624
24515,Salagnac,45.324,1.219
24520,Sarlat-la-Canéda,44.877,1.22
